Flow Duration,Flow Bytes/s,Flow Packets/s,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,Average Packet Size,Fwd Packet Length Mean,Bwd Packet Length Mean,Fwd Packets/s,Bwd Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Down/Up Ratio,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes
5860480.070114136,307.31270791010894,0.8531724261802024,5,0,1801,0,54,793,360.2,346.67356403394825,120182.56,360.2,360.2,0,0.8531724261802024,0.0,1.465120017528534,1.856132473213209,4.628194093704224,0.0762100219726562,0.0,5,1801,0,0
5862071.990966797,74.71760849660996,0.8529407362626708,5,0,438,0,54,152,87.6,42.093229859444136,1771.8399999999997,87.6,87.6,0,0.8529407362626708,0.0,1.4655179977416992,1.856076893912268,4.628952026367188,0.0288410186767578,0.0,5,438,0,0
7412574.052810669,90.11714355105975,0.2698118070391011,2,0,668,0,66,602,334.0,268.0,71824.0,334.0,334.0,0,0.2698118070391011,0.0,7.412574052810669,0.0,7.412574052810669,7.412574052810669,0.0,2,668,0,0
7534215.927124023,88.66217884665676,0.2654556252893915,2,0,668,0,66,602,334.0,268.0,71824.0,334.0,334.0,0,0.2654556252893915,0.0,7.534215927124023,0.0,7.534215927124023,7.534215927124023,0.0,2,668,0,0
10643835.067749023,68.9601065149939,0.2818532963828088,3,0,734,0,66,602,244.66666666666663,252.67282314399296,63843.55555555556,244.66666666666663,244.66666666666663,0,0.2818532963828088,0.0,5.321917533874512,1.8437883853912356,7.165705919265747,3.4781291484832764,0.0,3,734,0,0
10651387.214660645,169.55537937013582,0.2816534541032157,3,0,1806,0,602,602,602.0,0.0,0.0,602.0,602.0,0,0.2816534541032157,0.0,5.325693607330322,1.8476386070251465,7.173332214355469,3.478055000305176,0.0,3,1806,0,0
12240453.004837036,16.50265720722722,0.163392645616111,2,0,202,0,92,110,101.0,9.0,81.0,101.0,101.0,0,0.163392645616111,0.0,12.240453004837036,0.0,12.240453004837036,12.240453004837036,0.0,2,202,0,0
5041834.831237793,71.7992580314511,0.595021475398766,3,0,362,0,54,154,120.66666666666669,47.14045207910317,2222.222222222222,120.66666666666669,120.66666666666669,0,0.595021475398766,0.0,2.5209174156188965,0.8461904525756836,3.36710786819458,1.674726963043213,0.0,3,362,0,0
5042121.887207031,231.2518471555393,0.9916459998093454,5,0,1166,0,54,519,233.2,219.73747973434115,48284.55999999999,233.2,233.2,0,0.9916459998093454,0.0,1.2605304718017578,1.3539092844435632,3.322093963623047,0.0453078746795654,0.0,5,1166,0,0
10019386.053085327,10.97871660171504,0.1996130291220916,2,0,110,0,55,55,55.0,0.0,0.0,55.0,55.0,0,0.1996130291220916,0.0,10.019386053085327,0.0,10.019386053085327,10.019386053085327,0.0,2,110,0,0
10017263.889312744,13.177250939832849,0.1996553172701946,2,0,132,0,66,66,66.0,0.0,0.0,66.0,66.0,0,0.1996553172701946,0.0,10.017263889312744,0.0,10.017263889312744,10.017263889312744,0.0,2,132,0,0
7309628.009796143,91.38631940021662,0.2736117347311875,2,0,668,0,66,602,334.0,268.0,71824.0,334.0,334.0,0,0.2736117347311875,0.0,7.309628009796143,0.0,7.309628009796143,7.309628009796143,0.0,2,668,0,0
7418313.026428223,17.793802921195347,0.2696030745635658,2,0,132,0,66,66,66.0,0.0,0.0,66.0,66.0,0,0.2696030745635658,0.0,7.418313026428223,0.0,7.418313026428223,7.418313026428223,0.0,2,132,0,0
7503551.959991455,43.9791716988891,0.3998106518080827,3,0,330,0,110,110,110.0,0.0,0.0,110.0,110.0,0,0.3998106518080827,0.0,3.751775979995728,2.251539945602417,6.0033159255981445,1.5002360343933103,0.0,3,330,0,0
9021857.976913452,61.18473616105955,0.4433676533410112,4,0,552,0,138,138,138.0,0.0,0.0,138.0,138.0,0,0.4433676533410112,0.0,3.007285992304484,2.12062227075664,6.006292104721069,1.5023078918457031,0.0,4,552,0,0
10309695.00541687,123.18502141263372,0.2909882395574025,3,0,1270,0,66,602,423.3333333333333,252.67282314399296,63843.55555555556,423.3333333333333,423.3333333333333,0,0.2909882395574025,0.0,5.154847502708435,1.1933895349502563,6.348237037658691,3.9614579677581783,0.0,3,1270,0,0
10444414.854049684,70.27679484747786,0.2872348563248414,3,0,734,0,66,602,244.66666666666663,252.67282314399296,63843.55555555556,244.66666666666663,244.66666666666663,0,0.2872348563248414,0.0,5.222207427024841,1.126065373420715,6.348272800445557,4.096142053604126,0.0,3,734,0,0
19964658.9756012,10.518586881781498,0.1502655268825928,3,0,210,0,54,78,70.0,11.31370849898476,128.0,70.0,70.0,0,0.1502655268825928,0.0,9.982329487800598,9.974663615226746,19.956993103027344,0.0076658725738525,0.0,3,210,0,0
19964720.964431763,8.214489964181064,0.1001767068802568,2,0,164,0,82,82,82.0,0.0,0.0,82.0,82.0,0,0.1001767068802568,0.0,19.964720964431763,0.0,19.964720964431763,19.964720964431763,0.0,2,164,0,0
14093310.117721558,14.758775494371015,0.1419113028304905,2,0,208,0,54,154,104.0,50.0,2500.0,104.0,104.0,0,0.1419113028304905,0.0,14.093310117721558,0.0,14.093310117721558,14.093310117721558,0.0,2,208,0,0
5129052.16217041,21.446457653776797,0.3899355937050326,2,0,110,0,55,55,55.0,0.0,0.0,55.0,55.0,0,0.3899355937050326,0.0,5.12905216217041,0.0,5.12905216217041,5.12905216217041,0.0,2,110,0,0
5114056.11038208,25.81121465054439,0.3910790098567331,2,0,132,0,66,66,66.0,0.0,0.0,66.0,66.0,0,0.3910790098567331,0.0,5.11405611038208,0.0,5.11405611038208,5.11405611038208,0.0,2,132,0,0
6701236.963272095,43.87249721377485,0.4476785429977025,3,0,294,0,74,110,98.0,16.97056274847714,288.0,98.0,98.0,0,0.4476785429977025,0.0,3.350618481636048,1.8491185903549197,5.199737071990967,1.501499891281128,0.0,3,294,0,0
